drug,drugbank-id,disease,MeshId
357,DB00860,86,D147530
357,DB00860,112,D165720
357,DB00860,66,D140600
357,DB00860,305,D607850
357,DB00860,293,D607459
139,DB00388,311,D608583
139,DB00388,299,D607554
572,DB01427,307,D608088
97,DB00318,79,D145590
97,DB00318,102,D157300
97,DB00318,246,D300125
458,DB01069,82,D146255
458,DB01069,200,D241519
112,DB00342,311,D608583
112,DB00342,299,D607554
112,DB00342,312,D608622
112,DB00342,130,D179600
112,DB00342,108,D161900
384,DB00915,189,D231090
461,DB01073,79,D145590
461,DB01073,87,D147540
461,DB01073,105,D158280
461,DB01073,307,D608088
534,DB01229,79,D145590
534,DB01229,100,D156000
168,DB00448,61,D137750
168,DB00448,278,D601682
168,DB00448,62,D137760
168,DB00448,108,D161900
411,DB00969,273,D601367
76,DB00280,23,D115000
345,DB00820,5,D103780
93,DB00313,102,D157300
93,DB00313,246,D300125
544,DB01244,19,D114480
544,DB01244,58,D137215
544,DB01244,99,D155601
544,DB01244,98,D155600
544,DB01244,241,D276300
544,DB01244,128,D176807
41,DB00204,311,D608583
41,DB00204,299,D607554
41,DB00204,23,D115000
317,DB00755,79,D145590
349,DB00839,287,D605055
349,DB00839,7,D104300
349,DB00839,31,D125320
416,DB00987,82,D146255
416,DB00987,257,D310468
416,DB00987,113,D166300
416,DB00987,108,D161900
362,DB00868,61,D137750
362,DB00868,278,D601682
362,DB00868,62,D137760
362,DB00868,108,D161900
239,DB00588,155,D200170
239,DB00588,312,D608622
239,DB00588,86,D147530
239,DB00588,261,D600082
239,DB00588,130,D179600
239,DB00588,108,D161900
489,DB01137,282,D603165
489,DB01137,86,D147530
424,DB00996,16,D109800
424,DB00996,19,D114480
424,DB00996,58,D137215
424,DB00996,193,D236000
424,DB00996,276,D601626
424,DB00996,167,D211980
424,DB00996,206,D247640
424,DB00996,241,D276300
424,DB00996,214,D254500
424,DB00996,219,D256700
424,DB00996,222,D259500
424,DB00996,235,D268220
424,DB00996,143,D188470
424,DB00996,153,D194070
124,DB00364,79,D145590
124,DB00364,87,D147540
565,DB01394,139,D184700
565,DB01394,284,D604416
181,DB00475,86,D147530
181,DB00475,111,D165199
268,DB00650,162,D208550
268,DB00650,269,D600807
268,DB00650,166,D210050
49,DB00216,102,D157300
49,DB00216,294,D607498
49,DB00216,297,D607508
49,DB00216,298,D607516
49,DB00216,296,D607501
49,DB00216,246,D300125
235,DB00583,312,D608622
235,DB00583,82,D146255
532,DB01225,23,D115000
531,DB01224,190,D231200
531,DB01224,97,D155100
531,DB01224,239,D273800
531,DB01224,142,D188050
191,DB00492,118,D168100
191,DB00492,119,D168600
562,DB01359,162,D208550
562,DB01359,269,D600807
276,DB00661,162,D208550
276,DB00661,269,D600807
276,DB00661,61,D137750
276,DB00661,278,D601682
276,DB00661,62,D137760
276,DB00661,87,D147540
166,DB00444,19,D114480
166,DB00444,241,D276300
540,DB01238,129,D178600
540,DB01238,108,D161900
540,DB01238,141,D188030
364,DB00871,312,D608622
364,DB00871,108,D161900
16,DB00153,82,D146255
16,DB00153,200,D241519
16,DB00153,223,D259660
16,DB00153,243,D277440
290,DB00695,102,D157300
290,DB00695,246,D300125
205,DB00527,75,D144700
38,DB00199,284,D604416
503,DB01174,109,D164230
32,DB00187,312,D608622
32,DB00187,108,D161900
308,DB00734,14,D109350
308,DB00734,263,D600263
308,DB00734,147,D190310
329,DB00776,3,D102500
329,DB00776,19,D114480
329,DB00776,175,D215470
329,DB00776,258,D311360
329,DB00776,128,D176807
516,DB01195,128,D176807
516,DB01195,274,D601518
272,DB00654,175,D215470
272,DB00654,258,D311360
375,DB00901,156,D203700
375,DB00901,161,D208300
375,DB00901,166,D210050
375,DB00901,264,D600351
375,DB00901,174,D215140
375,DB00901,312,D608622
375,DB00901,218,D256370
375,DB00901,108,D161900
372,DB00889,86,D147530
412,DB00975,3,D102500
412,DB00975,175,D215470
412,DB00975,42,D131200
412,DB00975,139,D184700
412,DB00975,258,D311360
412,DB00975,284,D604416
412,DB00975,151,D192000
241,DB00591,177,D217200
315,DB00750,177,D217200
315,DB00750,197,D239350
313,DB00747,160,D208230
313,DB00747,86,D147530
313,DB00747,112,D165720
313,DB00747,66,D140600
313,DB00747,305,D607850
313,DB00747,293,D607459
326,DB00771,193,D236000
326,DB00771,241,D276300
326,DB00771,137,D182280
326,DB00771,238,D273300
576,DB01579,288,D605839
576,DB01579,75,D144700
418,DB00989,19,D114480
389,DB00925,14,D109350
389,DB00925,263,D600263
389,DB00925,251,D304790
389,DB00925,147,D190310
399,DB00947,0,D102100
440,DB01020,312,D608622
440,DB01020,130,D179600
440,DB01020,108,D161900
445,DB01035,72,D144010
445,DB01035,74,D144650
335,DB00795,312,D608622
335,DB00795,108,D161900
231,DB00572,160,D208230
231,DB00572,86,D147530
231,DB00572,112,D165720
231,DB00572,66,D140600
231,DB00572,305,D607850
231,DB00572,293,D607459
340,DB00810,86,D147530
524,DB01214,155,D200170
524,DB01214,13,D109200
524,DB01214,6,D104130
524,DB01214,86,D147530
524,DB01214,261,D600082
491,DB01143,190,D231200
491,DB01143,97,D155100
491,DB01143,239,D273800
515,DB01194,299,D607554
470,DB01098,22,D114580
470,DB01098,168,D212050
460,DB01072,181,D223350
460,DB01072,193,D236000
460,DB01072,15,D109543
460,DB01072,92,D151400
460,DB01072,206,D247640
460,DB01072,241,D276300
460,DB01072,233,D267730
285,DB00686,103,D157700
285,DB00686,210,D252320
28,DB00180,162,D208550
28,DB00180,269,D600807
240,DB00590,282,D603165
100,DB00323,245,D278200
214,DB00542,8,D106400
214,DB00542,19,D114480
214,DB00542,20,D114500
214,DB00542,58,D137215
214,DB00542,241,D276300
179,DB00471,295,D607499
179,DB00471,43,D131300
179,DB00471,210,D252320
179,DB00471,109,D164230
179,DB00471,117,D167870
179,DB00471,135,D181500
508,DB01182,19,D114480
508,DB01182,175,D215470
508,DB01182,199,D241100
254,DB00622,135,D181500
351,DB00844,192,D233810
296,DB00710,4,D103100
296,DB00710,160,D208230
296,DB00710,95,D153880
296,DB00710,112,D165720
296,DB00710,66,D140600
296,DB00710,305,D607850
296,DB00710,293,D607459
193,DB00497,128,D176807
238,DB00586,162,D208550
238,DB00586,269,D600807
468,DB01088,72,D144010
24,DB00176,109,D164230
24,DB00176,117,D167870
227,DB00564,142,D188050
414,DB00982,162,D208550
414,DB00982,269,D600807
414,DB00982,166,D210050
190,DB00491,312,D608622
190,DB00491,82,D146255
190,DB00491,108,D161900
557,DB01296,177,D217200
557,DB01296,197,D239350
425,DB00997,102,D157300
398,DB00945,19,D114480
578,DB01623,158,D206200
289,DB00694,156,D203700
289,DB00694,161,D208300
289,DB00694,166,D210050
289,DB00694,264,D600351
289,DB00694,174,D215140
289,DB00694,71,D143880
289,DB00694,312,D608622
289,DB00694,82,D146255
289,DB00694,218,D256370
289,DB00694,113,D166300
289,DB00694,108,D161900
423,DB00995,163,D208700
423,DB00995,262,D600131
423,DB00995,302,D607681
423,DB00995,300,D607628
423,DB00995,285,D604827
423,DB00995,303,D607682
423,DB00995,301,D607631
423,DB00995,308,D608105
423,DB00995,248,D300491
423,DB00995,73,D144110
423,DB00995,86,D147530
423,DB00995,102,D157300
423,DB00995,111,D165199
423,DB00995,1,D102300
423,DB00995,234,D267740
423,DB00995,146,D190300
279,DB00672,287,D605055
279,DB00672,7,D104300
279,DB00672,31,D125320
163,DB00440,19,D114480
163,DB00440,288,D605839
163,DB00440,75,D144700
541,DB01240,72,D144010
541,DB01240,74,D144650
541,DB01240,224,D260480
585,DB04861,38,D126200
435,DB01014,37,D125853
435,DB01014,34,D125850
435,DB01014,35,D125851
435,DB01014,265,D600496
479,DB01118,37,D125853
52,DB00222,37,D125853
52,DB00222,34,D125850
52,DB00222,35,D125851
52,DB00222,265,D600496
455,DB01064,37,D125853
455,DB01064,34,D125850
455,DB01064,35,D125851
455,DB01064,265,D600496
556,DB01294,160,D208230
556,DB01294,112,D165720
556,DB01294,66,D140600
556,DB01294,305,D607850
556,DB01294,293,D607459
265,DB00642,81,D146110
2,DB00014,19,D114480
2,DB00014,42,D131200
2,DB00014,128,D176807
2,DB00014,274,D601518
371,DB00887,79,D145590
53,DB00226,312,D608622
53,DB00226,108,D161900
500,DB01169,312,D608622
500,DB01169,108,D161900
437,DB01017,69,D143465
437,DB01017,312,D608622
437,DB01017,108,D161900
209,DB00535,18,D113610
209,DB00535,178,D218200
209,DB00535,259,D312910
243,DB00594,192,D233810
196,DB00501,40,D127750
196,DB00501,60,D137580
196,DB00501,135,D181500
196,DB00501,138,D182830
474,DB01105,30,D125310
474,DB01105,260,D540000
474,DB01105,273,D601367
553,DB01268,312,D608622
553,DB01268,78,D145500
553,DB01268,108,D161900
426,DB00998,3,D102500
426,DB00998,161,D208300
426,DB00998,33,D125700
426,DB00998,264,D600351
426,DB00998,174,D215140
426,DB00998,312,D608622
426,DB00998,108,D161900
402,DB00953,86,D147530
402,DB00953,307,D608088
309,DB00736,32,D125600
309,DB00736,192,D233810
309,DB00736,115,D166760
102,DB00325,86,D147530
102,DB00325,307,D608088
430,DB01003,288,D605839
430,DB01003,99,D155601
430,DB01003,98,D155600
430,DB01003,241,D276300
430,DB01003,228,D263300
430,DB01003,75,D144700
430,DB01003,140,D187950
223,DB00555,79,D145590
223,DB00555,86,D147530
156,DB00422,155,D200170
156,DB00422,185,D226150
156,DB00422,73,D144110
156,DB00422,225,D260570
156,DB00422,147,D190310
295,DB00707,3,D102500
295,DB00707,114,D166710
450,DB01045,160,D208230
450,DB01045,79,D145590
450,DB01045,86,D147530
450,DB01045,90,D150600
450,DB01045,210,D252320
450,DB01045,112,D165720
450,DB01045,66,D140600
450,DB01045,305,D607850
450,DB01045,293,D607459
91,DB00308,311,D608583
91,DB00308,299,D607554
505,DB01176,181,D223350
505,DB01176,276,D601626
505,DB01176,206,D247640
506,DB01177,193,D236000
506,DB01177,15,D109543
506,DB01177,92,D151400
506,DB01177,206,D247640
506,DB01177,241,D276300
506,DB01177,238,D273300
467,DB01086,312,D608622
467,DB01086,78,D145500
467,DB01086,129,D178600
467,DB01086,108,D161900
251,DB00612,304,D607685
251,DB00612,206,D247640
251,DB00612,241,D276300
251,DB00612,44,D131440
172,DB00457,69,D143465
172,DB00457,266,D600631
172,DB00457,270,D600808
172,DB00457,86,D147530
172,DB00457,117,D167870
303,DB00722,8,D106400
338,DB00806,264,D600351
338,DB00806,174,D215140
338,DB00806,312,D608622
338,DB00806,218,D256370
338,DB00806,108,D161900
103,DB00327,160,D208230
103,DB00327,281,D602522
103,DB00327,49,D133600
103,DB00327,50,D133690
103,DB00327,229,D263800
103,DB00327,86,D147530
103,DB00327,203,D246400
103,DB00327,102,D157300
103,DB00327,112,D165720
103,DB00327,66,D140600
103,DB00327,305,D607850
103,DB00327,293,D607459
105,DB00331,162,D208550
105,DB00331,269,D600807
105,DB00331,166,D210050
441,DB01023,37,D125853
441,DB01023,312,D608622
441,DB01023,82,D146255
441,DB01023,34,D125850
441,DB01023,35,D125851
441,DB01023,265,D600496
441,DB01023,108,D161900
320,DB00759,20,D114500
320,DB00759,181,D223350
320,DB00759,204,D246470
320,DB00759,241,D276300
51,DB00221,162,D208550
51,DB00221,269,D600807
51,DB00221,166,D210050
454,DB01063,162,D208550
454,DB01063,269,D600807
454,DB01063,23,D115000
368,DB00882,310,D608320
368,DB00882,14,D109350
368,DB00882,129,D178600
368,DB00882,108,D161900
439,DB01019,310,D608320
439,DB01019,14,D109350
413,DB00977,276,D601626
413,DB00977,284,D604416
70,DB00270,312,D608622
70,DB00270,130,D179600
70,DB00270,108,D161900
498,DB01165,22,D114580
498,DB01165,168,D212050
498,DB01165,279,D602068
498,DB01165,220,D258360
527,DB01219,86,D147530
433,DB01008,160,D208230
433,DB01008,79,D145590
433,DB01008,112,D165720
433,DB01008,66,D140600
433,DB01008,305,D607850
433,DB01008,293,D607459
175,DB00464,254,D308205
175,DB00464,86,D147530
244,DB00596,17,D110100
244,DB00596,312,D608622
244,DB00596,103,D157700
244,DB00596,121,D171300
244,DB00596,108,D161900
17,DB00160,227,D261515
222,DB00554,0,D102100
222,DB00554,177,D217200
222,DB00554,197,D239350
222,DB00554,135,D181500
167,DB00445,14,D109350
167,DB00445,263,D600263
167,DB00445,147,D190310
547,DB01255,19,D114480
547,DB01255,241,D276300
11,DB00125,180,D220120
271,DB00653,61,D137750
271,DB00653,278,D601682
271,DB00653,62,D137760
271,DB00653,108,D161900
234,DB00580,172,D212140
183,DB00477,214,D254500
431,DB01005,19,D114480
267,DB00647,20,D114500
267,DB00647,222,D259500
267,DB00647,127,D176800
0,DB00007,42,D131200
0,DB00007,91,D150699
0,DB00007,126,D175510
0,DB00007,128,D176807
0,DB00007,274,D601518
0,DB00007,261,D600082
0,DB00007,284,D604416
352,DB00846,241,D276300
519,DB01200,177,D217200
519,DB01200,262,D600131
519,DB01200,302,D607681
519,DB01200,300,D607628
519,DB01200,285,D604827
519,DB01200,303,D607682
519,DB01200,301,D607631
519,DB01200,308,D608105
519,DB01200,248,D300491
519,DB01200,197,D239350
522,DB01204,190,D231200
522,DB01204,61,D137750
522,DB01204,97,D155100
522,DB01204,108,D161900
522,DB01204,239,D273800
428,DB01001,86,D147530
538,DB01234,118,D168100
538,DB01234,1,D102300
488,DB01136,162,D208550
488,DB01136,115,D166760
125,DB00366,42,D131200
125,DB00366,139,D184700
125,DB00366,151,D192000
169,DB00449,64,D138800
169,DB00449,240,D275000
169,DB00449,65,D140300
169,DB00449,217,D255900
77,DB00281,86,D147530
75,DB00279,64,D138800
75,DB00279,240,D275000
75,DB00279,65,D140300
75,DB00279,217,D255900
546,DB01254,249,D300494
546,DB01254,69,D143465
302,DB00721,30,D125310
302,DB00721,310,D608320
302,DB00721,312,D608622
302,DB00721,82,D146255
302,DB00721,108,D161900
21,DB00167,183,D225755
21,DB00167,306,D608033
21,DB00167,182,D225740
21,DB00167,226,D260970
560,DB01351,135,D181500
31,DB00186,210,D252320
31,DB00186,117,D167870
31,DB00186,144,D189600
